Lugar de origen;Sexo;Medida;Valor;
Palma del Río;Mujeres;Emigraciones;212;
Palma del Río;Ambos sexos;Emigraciones;457;
Pedro Abad;Hombres;Emigraciones;48;
Pedro Abad;Mujeres;Emigraciones;46;
Pedro Abad;Ambos sexos;Emigraciones;94;
Pedroche;Hombres;Emigraciones;20;
Pedroche;Mujeres;Emigraciones;27;
Pedroche;Ambos sexos;Emigraciones;47;
Peñarroya-Pueblonuevo;Hombres;Emigraciones;161;
Peñarroya-Pueblonuevo;Mujeres;Emigraciones;163;
Peñarroya-Pueblonuevo;Ambos sexos;Emigraciones;324;
Posadas;Hombres;Emigraciones;101;
Posadas;Mujeres;Emigraciones;97;
Posadas;Ambos sexos;Emigraciones;198;
Pozoblanco;Hombres;Emigraciones;228;
Pozoblanco;Mujeres;Emigraciones;218;
Pozoblanco;Ambos sexos;Emigraciones;446;
Priego de Córdoba;Hombres;Emigraciones;303;
Priego de Córdoba;Mujeres;Emigraciones;301;
Priego de Córdoba;Ambos sexos;Emigraciones;604;
Puente Genil;Hombres;Emigraciones;374;
Puente Genil;Mujeres;Emigraciones;353;
Puente Genil;Ambos sexos;Emigraciones;727;
Rambla (La);Hombres;Emigraciones;79;
Rambla (La);Mujeres;Emigraciones;74;
Rambla (La);Ambos sexos;Emigraciones;153;
Rute;Hombres;Emigraciones;129;
Rute;Mujeres;Emigraciones;124;
Rute;Ambos sexos;Emigraciones;253;
San Sebastián de los Ballesteros;Hombres;Emigraciones;10;
San Sebastián de los Ballesteros;Mujeres;Emigraciones;13;
San Sebastián de los Ballesteros;Ambos sexos;Emigraciones;23;
Santa Eufemia;Hombres;Emigraciones;22;
Santa Eufemia;Mujeres;Emigraciones;16;
Santa Eufemia;Ambos sexos;Emigraciones;38;
Santaella;Hombres;Emigraciones;68;
Santaella;Mujeres;Emigraciones;64;
Santaella;Ambos sexos;Emigraciones;132;
Torrecampo;Hombres;Emigraciones;18;
Torrecampo;Mujeres;Emigraciones;12;
Torrecampo;Ambos sexos;Emigraciones;30;
Valenzuela;Hombres;Emigraciones;18;
Valenzuela;Mujeres;Emigraciones;12;
Valenzuela;Ambos sexos;Emigraciones;30;
Valsequillo;Hombres;Emigraciones;10;
Valsequillo;Mujeres;Emigraciones;9;
Valsequillo;Ambos sexos;Emigraciones;19;
Victoria (La);Hombres;Emigraciones;41;
Victoria (La);Mujeres;Emigraciones;46;
Victoria (La);Ambos sexos;Emigraciones;87;
Villa del Río;Hombres;Emigraciones;81;
Villa del Río;Mujeres;Emigraciones;78;
Villa del Río;Ambos sexos;Emigraciones;159;
Villafranca de Córdoba;Hombres;Emigraciones;109;
Villafranca de Córdoba;Mujeres;Emigraciones;93;
Villafranca de Córdoba;Ambos sexos;Emigraciones;202;
Villaharta;Hombres;Emigraciones;24;
Villaharta;Mujeres;Emigraciones;24;
Villaharta;Ambos sexos;Emigraciones;48;
Villanueva de Córdoba;Hombres;Emigraciones;77;
Villanueva de Córdoba;Mujeres;Emigraciones;93;
Villanueva de Córdoba;Ambos sexos;Emigraciones;170;
Villanueva del Duque;Hombres;Emigraciones;27;
Villanueva del Duque;Mujeres;Emigraciones;16;
Villanueva del Duque;Ambos sexos;Emigraciones;43;
Villanueva del Rey;Hombres;Emigraciones;15;
Villanueva del Rey;Mujeres;Emigraciones;9;
Villanueva del Rey;Ambos sexos;Emigraciones;24;
Villaralto;Hombres;Emigraciones;18;
Villaralto;Mujeres;Emigraciones;11;
Villaralto;Ambos sexos;Emigraciones;29;
Villaviciosa de Córdoba;Hombres;Emigraciones;43;
Villaviciosa de Córdoba;Mujeres;Emigraciones;48;
Villaviciosa de Córdoba;Ambos sexos;Emigraciones;91;
Viso (El);Hombres;Emigraciones;36;
Viso (El);Mujeres;Emigraciones;40;
Viso (El);Ambos sexos;Emigraciones;76;
Zuheros;Hombres;Emigraciones;10;
Zuheros;Mujeres;Emigraciones;6;
Zuheros;Ambos sexos;Emigraciones;16;
Granada;Hombres;Emigraciones;21138;
Granada;Mujeres;Emigraciones;20489;
Granada;Ambos sexos;Emigraciones;41627;
Agrón;Hombres;Emigraciones;1;
Agrón;Mujeres;Emigraciones;7;
Agrón;Ambos sexos;Emigraciones;8;
Alamedilla;Hombres;Emigraciones;16;
Alamedilla;Mujeres;Emigraciones;8;
Alamedilla;Ambos sexos;Emigraciones;24;
Albolote;Hombres;Emigraciones;397;
Albolote;Mujeres;Emigraciones;395;
Albolote;Ambos sexos;Emigraciones;792;
Albondón;Hombres;Emigraciones;28;
Albondón;Mujeres;Emigraciones;20;
Albondón;Ambos sexos;Emigraciones;48;
Albuñán;Hombres;Emigraciones;7;
Albuñán;Mujeres;Emigraciones;7;
Albuñán;Ambos sexos;Emigraciones;14;
Albuñol;Hombres;Emigraciones;155;
Albuñol;Mujeres;Emigraciones;125;
Albuñol;Ambos sexos;Emigraciones;280;
Albuñuelas;Hombres;Emigraciones;16;
Albuñuelas;Mujeres;Emigraciones;14;
Albuñuelas;Ambos sexos;Emigraciones;30;
Aldeire;Hombres;Emigraciones;14;
Aldeire;Mujeres;Emigraciones;6;
Aldeire;Ambos sexos;Emigraciones;20;
Alfacar;Hombres;Emigraciones;125;
Alfacar;Mujeres;Emigraciones;115;
Alfacar;Ambos sexos;Emigraciones;240;
Algarinejo;Hombres;Emigraciones;38;
Algarinejo;Mujeres;Emigraciones;51;
Algarinejo;Ambos sexos;Emigraciones;89;
Alhama de Granada;Hombres;Emigraciones;140;
Alhama de Granada;Mujeres;Emigraciones;97;
Alhama de Granada;Ambos sexos;Emigraciones;237;
Alhendín;Hombres;Emigraciones;256;
Alhendín;Mujeres;Emigraciones;273;
Alhendín;Ambos sexos;Emigraciones;529;
Alicún de Ortega;Hombres;Emigraciones;10;
Alicún de Ortega;Mujeres;Emigraciones;5;
Alicún de Ortega;Ambos sexos;Emigraciones;15;
Almegíjar;Hombres;Emigraciones;11;
Almegíjar;Mujeres;Emigraciones;11;
Almegíjar;Ambos sexos;Emigraciones;22;
Almuñécar;Hombres;Emigraciones;473;
Almuñécar;Mujeres;Emigraciones;456;
Almuñécar;Ambos sexos;Emigraciones;929;
Alpujarra de la Sierra;Hombres;Emigraciones;29;
Alpujarra de la Sierra;Mujeres;Emigraciones;34;
Alpujarra de la Sierra;Ambos sexos;Emigraciones;63;
Alquife;Hombres;Emigraciones;20;
Alquife;Mujeres;Emigraciones;16;
Alquife;Ambos sexos;Emigraciones;36;
Arenas del Rey;Hombres;Emigraciones;25;
Arenas del Rey;Mujeres;Emigraciones;32;
Arenas del Rey;Ambos sexos;Emigraciones;57;
Armilla;Hombres;Emigraciones;971;
Armilla;Mujeres;Emigraciones;818;
Armilla;Ambos sexos;Emigraciones;1789;
Atarfe;Hombres;Emigraciones;344;
Atarfe;Mujeres;Emigraciones;394;
Atarfe;Ambos sexos;Emigraciones;738;
Baza;Hombres;Emigraciones;406;
Baza;Mujeres;Emigraciones;332;
Baza;Ambos sexos;Emigraciones;738;
Beas de Granada;Hombres;Emigraciones;25;
Beas de Granada;Mujeres;Emigraciones;13;
Beas de Granada;Ambos sexos;Emigraciones;38;
Beas de Guadix;Hombres;Emigraciones;5;
Beas de Guadix;Mujeres;Emigraciones;8;
Beas de Guadix;Ambos sexos;Emigraciones;13;
Benalúa;Hombres;Emigraciones;51;
Benalúa;Mujeres;Emigraciones;53;
Benalúa;Ambos sexos;Emigraciones;104;
Benalúa de las Villas;Hombres;Emigraciones;22;
Benalúa de las Villas;Mujeres;Emigraciones;24;
Benalúa de las Villas;Ambos sexos;Emigraciones;46;
Benamaurel;Hombres;Emigraciones;64;
Benamaurel;Mujeres;Emigraciones;48;
Benamaurel;Ambos sexos;Emigraciones;112;
Bérchules;Hombres;Emigraciones;15;
Bérchules;Mujeres;Emigraciones;15;
Bérchules;Ambos sexos;Emigraciones;30;
Bubión;Hombres;Emigraciones;7;
Bubión;Mujeres;Emigraciones;7;
Bubión;Ambos sexos;Emigraciones;14;
Busquístar;Hombres;Emigraciones;8;
Busquístar;Mujeres;Emigraciones;12;
Busquístar;Ambos sexos;Emigraciones;20;
Cacín;Hombres;Emigraciones;5;
Cacín;Mujeres;Emigraciones;12;
Cacín;Ambos sexos;Emigraciones;17;
Cádiar;Hombres;Emigraciones;23;
Cádiar;Mujeres;Emigraciones;25;
Cádiar;Ambos sexos;Emigraciones;48;
Cájar;Hombres;Emigraciones;140;
Cájar;Mujeres;Emigraciones;127;
Cájar;Ambos sexos;Emigraciones;267;
Calahorra (La);Hombres;Emigraciones;18;
Calahorra (La);Mujeres;Emigraciones;19;
Calahorra (La);Ambos sexos;Emigraciones;37;
Calicasas;Hombres;Emigraciones;16;
Calicasas;Mujeres;Emigraciones;21;
Calicasas;Ambos sexos;Emigraciones;37;
Campotéjar;Hombres;Emigraciones;33;
Campotéjar;Mujeres;Emigraciones;19;
Campotéjar;Ambos sexos;Emigraciones;52;
Caniles;Hombres;Emigraciones;69;
Caniles;Mujeres;Emigraciones;63;
Caniles;Ambos sexos;Emigraciones;132;
Cáñar;Hombres;Emigraciones;18;
Cáñar;Mujeres;Emigraciones;13;
Cáñar;Ambos sexos;Emigraciones;31;
Capileira;Hombres;Emigraciones;12;
Capileira;Mujeres;Emigraciones;11;
Capileira;Ambos sexos;Emigraciones;23;
Carataunas;Hombres;Emigraciones;4;
Carataunas;Mujeres;Emigraciones;3;
Carataunas;Ambos sexos;Emigraciones;7;
Cástaras;Hombres;Emigraciones;10;
Cástaras;Mujeres;Emigraciones;6;
Cástaras;Ambos sexos;Emigraciones;16;
Castilléjar;Hombres;Emigraciones;32;
Castilléjar;Mujeres;Emigraciones;32;
Castilléjar;Ambos sexos;Emigraciones;64;
Castril;Hombres;Emigraciones;37;
Castril;Mujeres;Emigraciones;45;
Castril;Ambos sexos;Emigraciones;82;
Cenes de la Vega;Hombres;Emigraciones;271;
Cenes de la Vega;Mujeres;Emigraciones;270;
Cenes de la Vega;Ambos sexos;Emigraciones;541;
Chauchina;Hombres;Emigraciones;100;
Chauchina;Mujeres;Emigraciones;84;
Chauchina;Ambos sexos;Emigraciones;184;
Chimeneas;Hombres;Emigraciones;50;
Chimeneas;Mujeres;Emigraciones;33;
Chimeneas;Ambos sexos;Emigraciones;83;
Churriana de la Vega;Hombres;Emigraciones;448;
Churriana de la Vega;Mujeres;Emigraciones;448;
Churriana de la Vega;Ambos sexos;Emigraciones;896;
Cijuela;Hombres;Emigraciones;103;
Cijuela;Mujeres;Emigraciones;95;
Cijuela;Ambos sexos;Emigraciones;198;
Cogollos de Guadix;Hombres;Emigraciones;18;
Cogollos de Guadix;Mujeres;Emigraciones;15;
Cogollos de Guadix;Ambos sexos;Emigraciones;33;
Cogollos de la Vega;Hombres;Emigraciones;45;
Cogollos de la Vega;Mujeres;Emigraciones;41;
Cogollos de la Vega;Ambos sexos;Emigraciones;86;
Colomera;Hombres;Emigraciones;21;
Colomera;Mujeres;Emigraciones;21;
Colomera;Ambos sexos;Emigraciones;42;
Cortes de Baza;Hombres;Emigraciones;34;
Cortes de Baza;Mujeres;Emigraciones;40;
Cortes de Baza;Ambos sexos;Emigraciones;74;
Cortes y Graena;Hombres;Emigraciones;28;
Cortes y Graena;Mujeres;Emigraciones;32;
Cortes y Graena;Ambos sexos;Emigraciones;60;
Cuevas del Campo;Hombres;Emigraciones;42;
Cuevas del Campo;Mujeres;Emigraciones;42;
Cuevas del Campo;Ambos sexos;Emigraciones;84;
Cúllar;Hombres;Emigraciones;52;
Cúllar;Mujeres;Emigraciones;45;
Cúllar;Ambos sexos;Emigraciones;97;
Cúllar Vega;Hombres;Emigraciones;194;
Cúllar Vega;Mujeres;Emigraciones;203;
Cúllar Vega;Ambos sexos;Emigraciones;397;
Darro;Hombres;Emigraciones;22;
Darro;Mujeres;Emigraciones;39;
Darro;Ambos sexos;Emigraciones;61;
Dehesas de Guadix;Hombres;Emigraciones;8;
Dehesas de Guadix;Mujeres;Emigraciones;5;
Dehesas de Guadix;Ambos sexos;Emigraciones;13;
Deifontes;Hombres;Emigraciones;38;
Deifontes;Mujeres;Emigraciones;40;
Deifontes;Ambos sexos;Emigraciones;78;
Diezma;Hombres;Emigraciones;21;
Diezma;Mujeres;Emigraciones;12;
Diezma;Ambos sexos;Emigraciones;33;
Dílar;Hombres;Emigraciones;43;
Dílar;Mujeres;Emigraciones;44;
Dílar;Ambos sexos;Emigraciones;87;
Dólar;Hombres;Emigraciones;11;
Dólar;Mujeres;Emigraciones;10;
Dólar;Ambos sexos;Emigraciones;21;
Dúdar;Hombres;Emigraciones;13;
Dúdar;Mujeres;Emigraciones;9;
Dúdar;Ambos sexos;Emigraciones;22;
Dúrcal;Hombres;Emigraciones;135;
Dúrcal;Mujeres;Emigraciones;119;
Dúrcal;Ambos sexos;Emigraciones;254;
Escúzar;Hombres;Emigraciones;19;
Escúzar;Mujeres;Emigraciones;19;
Escúzar;Ambos sexos;Emigraciones;38;
Ferreira;Hombres;Emigraciones;5;
Ferreira;Mujeres;Emigraciones;7;
Ferreira;Ambos sexos;Emigraciones;12;
Fonelas;Hombres;Emigraciones;22;
Fonelas;Mujeres;Emigraciones;27;
Fonelas;Ambos sexos;Emigraciones;49;
Freila;Hombres;Emigraciones;15;
Freila;Mujeres;Emigraciones;15;
Freila;Ambos sexos;Emigraciones;30;
Fuente Vaqueros;Hombres;Emigraciones;96;
Fuente Vaqueros;Mujeres;Emigraciones;108;
Fuente Vaqueros;Ambos sexos;Emigraciones;204;
Gabias (Las);Hombres;Emigraciones;680;
Gabias (Las);Mujeres;Emigraciones;672;
Gabias (Las);Ambos sexos;Emigraciones;1352;
Galera;Hombres;Emigraciones;15;
Galera;Mujeres;Emigraciones;26;
Galera;Ambos sexos;Emigraciones;41;
Gobernador;Hombres;Emigraciones;7;
Gobernador;Mujeres;Emigraciones;16;
Gobernador;Ambos sexos;Emigraciones;23;
Gójar;Hombres;Emigraciones;139;
Gójar;Mujeres;Emigraciones;159;
Gójar;Ambos sexos;Emigraciones;298;
Gor;Hombres;Emigraciones;24;
Gor;Mujeres;Emigraciones;22;
Gor;Ambos sexos;Emigraciones;46;
Gorafe;Hombres;Emigraciones;14;
Gorafe;Mujeres;Emigraciones;10;
Gorafe;Ambos sexos;Emigraciones;24;
Granada (capital);Hombres;Emigraciones;6142;
Granada (capital);Mujeres;Emigraciones;5883;
Granada (capital);Ambos sexos;Emigraciones;12025;
Guadahortuna;Hombres;Emigraciones;42;
Guadahortuna;Mujeres;Emigraciones;47;
Guadahortuna;Ambos sexos;Emigraciones;89;
Guadix;Hombres;Emigraciones;315;
Guadix;Mujeres;Emigraciones;331;
Guadix;Ambos sexos;Emigraciones;646;
Guajares (Los);Hombres;Emigraciones;22;
Guajares (Los);Mujeres;Emigraciones;35;
Guajares (Los);Ambos sexos;Emigraciones;57;
Gualchos;Hombres;Emigraciones;383;
Gualchos;Mujeres;Emigraciones;292;
Gualchos;Ambos sexos;Emigraciones;675;
Güejar Sierra;Hombres;Emigraciones;64;
Güejar Sierra;Mujeres;Emigraciones;49;
Güejar Sierra;Ambos sexos;Emigraciones;113;
Güevéjar;Hombres;Emigraciones;57;
Güevéjar;Mujeres;Emigraciones;53;
Güevéjar;Ambos sexos;Emigraciones;110;
Huélago;Hombres;Emigraciones;8;
Huélago;Mujeres;Emigraciones;14;
Huélago;Ambos sexos;Emigraciones;22;
Huéneja;Hombres;Emigraciones;36;
Huéneja;Mujeres;Emigraciones;31;
Huéneja;Ambos sexos;Emigraciones;67;
Huéscar;Hombres;Emigraciones;111;
Huéscar;Mujeres;Emigraciones;98;
Huéscar;Ambos sexos;Emigraciones;209;
Huétor de Santillán;Hombres;Emigraciones;36;
Huétor de Santillán;Mujeres;Emigraciones;37;
Huétor de Santillán;Ambos sexos;Emigraciones;73;
Huétor Tájar;Hombres;Emigraciones;156;
Huétor Tájar;Mujeres;Emigraciones;152;
Huétor Tájar;Ambos sexos;Emigraciones;308;
Huétor Vega;Hombres;Emigraciones;240;
Huétor Vega;Mujeres;Emigraciones;245;
Huétor Vega;Ambos sexos;Emigraciones;485;
Illora;Hombres;Emigraciones;92;
Illora;Mujeres;Emigraciones;107;
Illora;Ambos sexos;Emigraciones;199;
Itrabo;Hombres;Emigraciones;22;
Itrabo;Mujeres;Emigraciones;32;
Itrabo;Ambos sexos;Emigraciones;54;
Iznalloz;Hombres;Emigraciones;67;
Iznalloz;Mujeres;Emigraciones;77;
Iznalloz;Ambos sexos;Emigraciones;144;
Jayena;Hombres;Emigraciones;15;
Jayena;Mujeres;Emigraciones;28;
Jayena;Ambos sexos;Emigraciones;43;
Jerez del Marquesado;Hombres;Emigraciones;19;
Jerez del Marquesado;Mujeres;Emigraciones;11;
Jerez del Marquesado;Ambos sexos;Emigraciones;30;
Jete;Hombres;Emigraciones;16;
Jete;Mujeres;Emigraciones;19;
Jete;Ambos sexos;Emigraciones;35;
Jun;Hombres;Emigraciones;90;
Jun;Mujeres;Emigraciones;105;
Jun;Ambos sexos;Emigraciones;195;
Juviles;Hombres;Emigraciones;5;
Juviles;Mujeres;Emigraciones;5;
Juviles;Ambos sexos;Emigraciones;10;
Láchar;Hombres;Emigraciones;101;
Láchar;Mujeres;Emigraciones;96;
Láchar;Ambos sexos;Emigraciones;197;
Lanjarón;Hombres;Emigraciones;66;
Lanjarón;Mujeres;Emigraciones;54;
Lanjarón;Ambos sexos;Emigraciones;120;
Lanteira;Hombres;Emigraciones;11;
Lanteira;Mujeres;Emigraciones;8;
Lanteira;Ambos sexos;Emigraciones;19;
Lecrín;Hombres;Emigraciones;41;
Lecrín;Mujeres;Emigraciones;44;
Lecrín;Ambos sexos;Emigraciones;85;
Lentegí;Hombres;Emigraciones;6;
Lentegí;Mujeres;Emigraciones;4;
Lentegí;Ambos sexos;Emigraciones;10;
Lobras;Hombres;Emigraciones;7;
Lobras;Mujeres;Emigraciones;4;
Lobras;Ambos sexos;Emigraciones;11;
Loja;Hombres;Emigraciones;362;
Loja;Mujeres;Emigraciones;285;
Loja;Ambos sexos;Emigraciones;647;
Lugros;Hombres;Emigraciones;7;
Lugros;Mujeres;Emigraciones;7;
Lugros;Ambos sexos;Emigraciones;14;
Lújar;Hombres;Emigraciones;36;
Lújar;Mujeres;Emigraciones;34;
Lújar;Ambos sexos;Emigraciones;70;
Malahá (La);Hombres;Emigraciones;33;
Malahá (La);Mujeres;Emigraciones;35;
Malahá (La);Ambos sexos;Emigraciones;68;
Maracena;Hombres;Emigraciones;503;
Maracena;Mujeres;Emigraciones;544;
Maracena;Ambos sexos;Emigraciones;1047;
Marchal;Hombres;Emigraciones;6;
Marchal;Mujeres;Emigraciones;12;
Marchal;Ambos sexos;Emigraciones;18;
Moclín;Hombres;Emigraciones;68;
Moclín;Mujeres;Emigraciones;76;
Moclín;Ambos sexos;Emigraciones;144;
Molvízar;Hombres;Emigraciones;64;
Molvízar;Mujeres;Emigraciones;57;
Molvízar;Ambos sexos;Emigraciones;121;
Monachil;Hombres;Emigraciones;256;
Monachil;Mujeres;Emigraciones;251;
Monachil;Ambos sexos;Emigraciones;507;
Montefrío;Hombres;Emigraciones;92;
Montefrío;Mujeres;Emigraciones;85;
Montefrío;Ambos sexos;Emigraciones;177;
Montejícar;Hombres;Emigraciones;26;
Montejícar;Mujeres;Emigraciones;31;
Montejícar;Ambos sexos;Emigraciones;57;
Montillana;Hombres;Emigraciones;31;
Montillana;Mujeres;Emigraciones;25;
Montillana;Ambos sexos;Emigraciones;56;
Moraleda de Zafayona;Hombres;Emigraciones;48;
Moraleda de Zafayona;Mujeres;Emigraciones;45;
Moraleda de Zafayona;Ambos sexos;Emigraciones;93;
Morelábor;Hombres;Emigraciones;12;
Morelábor;Mujeres;Emigraciones;21;
Morelábor;Ambos sexos;Emigraciones;33;
Motril;Hombres;Emigraciones;780;
Motril;Mujeres;Emigraciones;767;
Motril;Ambos sexos;Emigraciones;1547;
Murtas;Hombres;Emigraciones;17;
Murtas;Mujeres;Emigraciones;14;
Murtas;Ambos sexos;Emigraciones;31;
Nevada;Hombres;Emigraciones;19;
Nevada;Mujeres;Emigraciones;23;
Nevada;Ambos sexos;Emigraciones;42;
Nigüelas;Hombres;Emigraciones;27;
Nigüelas;Mujeres;Emigraciones;22;
Nigüelas;Ambos sexos;Emigraciones;49;
Nívar;Hombres;Emigraciones;20;
Nívar;Mujeres;Emigraciones;20;
Nívar;Ambos sexos;Emigraciones;40;
Ogíjares;Hombres;Emigraciones;383;
Ogíjares;Mujeres;Emigraciones;418;
Ogíjares;Ambos sexos;Emigraciones;801;
Orce;Hombres;Emigraciones;15;
Orce;Mujeres;Emigraciones;14;
Orce;Ambos sexos;Emigraciones;29;
Órgiva;Hombres;Emigraciones;153;
Órgiva;Mujeres;Emigraciones;152;
Órgiva;Ambos sexos;Emigraciones;305;
Otívar;Hombres;Emigraciones;20;
Otívar;Mujeres;Emigraciones;28;
Otívar;Ambos sexos;Emigraciones;48;
Otura;Hombres;Emigraciones;161;
Otura;Mujeres;Emigraciones;172;
Otura;Ambos sexos;Emigraciones;333;
Padul;Hombres;Emigraciones;151;
Padul;Mujeres;Emigraciones;149;
Padul;Ambos sexos;Emigraciones;300;
Pampaneira;Hombres;Emigraciones;11;
Pampaneira;Mujeres;Emigraciones;7;
Pampaneira;Ambos sexos;Emigraciones;18;
Pedro Martínez;Hombres;Emigraciones;23;
Pedro Martínez;Mujeres;Emigraciones;28;
Pedro Martínez;Ambos sexos;Emigraciones;51;
Peligros;Hombres;Emigraciones;250;
Peligros;Mujeres;Emigraciones;258;
Peligros;Ambos sexos;Emigraciones;508;
Peza (La);Hombres;Emigraciones;27;
Peza (La);Mujeres;Emigraciones;34;
Peza (La);Ambos sexos;Emigraciones;61;
Pinar (El);Hombres;Emigraciones;16;
Pinar (El);Mujeres;Emigraciones;19;
Pinar (El);Ambos sexos;Emigraciones;35;
Pinos Genil;Hombres;Emigraciones;49;
Pinos Genil;Mujeres;Emigraciones;47;
Pinos Genil;Ambos sexos;Emigraciones;96;
Pinos Puente;Hombres;Emigraciones;226;
Pinos Puente;Mujeres;Emigraciones;207;
Pinos Puente;Ambos sexos;Emigraciones;433;
Píñar;Hombres;Emigraciones;28;
Píñar;Mujeres;Emigraciones;16;
Píñar;Ambos sexos;Emigraciones;44;
Polícar;Hombres;Emigraciones;7;
Polícar;Mujeres;Emigraciones;5;
Polícar;Ambos sexos;Emigraciones;12;
Polopos;Hombres;Emigraciones;69;
Polopos;Mujeres;Emigraciones;72;
Polopos;Ambos sexos;Emigraciones;141;
Pórtugos;Hombres;Emigraciones;6;
Pórtugos;Mujeres;Emigraciones;3;
Pórtugos;Ambos sexos;Emigraciones;9;
Puebla de Don Fadrique;Hombres;Emigraciones;53;
Puebla de Don Fadrique;Mujeres;Emigraciones;53;
Puebla de Don Fadrique;Ambos sexos;Emigraciones;106;
Pulianas;Hombres;Emigraciones;137;
Pulianas;Mujeres;Emigraciones;141;
Pulianas;Ambos sexos;Emigraciones;278;
Purullena;Hombres;Emigraciones;37;
Purullena;Mujeres;Emigraciones;51;
Purullena;Ambos sexos;Emigraciones;88;
Quéntar;Hombres;Emigraciones;20;
Quéntar;Mujeres;Emigraciones;26;
Quéntar;Ambos sexos;Emigraciones;46;
Rubite;Hombres;Emigraciones;15;
Rubite;Mujeres;Emigraciones;8;
Rubite;Ambos sexos;Emigraciones;23;
Salar;Hombres;Emigraciones;38;
Salar;Mujeres;Emigraciones;28;
Salar;Ambos sexos;Emigraciones;66;
Salobreña;Hombres;Emigraciones;236;
Salobreña;Mujeres;Emigraciones;224;
Salobreña;Ambos sexos;Emigraciones;460;
Santa Cruz del Comercio;Hombres;Emigraciones;8;
Santa Cruz del Comercio;Mujeres;Emigraciones;10;
Santa Cruz del Comercio;Ambos sexos;Emigraciones;18;
Santa Fe;Hombres;Emigraciones;294;
Santa Fe;Mujeres;Emigraciones;304;
Santa Fe;Ambos sexos;Emigraciones;598;
Soportújar;Hombres;Emigraciones;8;
Soportújar;Mujeres;Emigraciones;6;
Soportújar;Ambos sexos;Emigraciones;14;
Sorvilán;Hombres;Emigraciones;13;
Sorvilán;Mujeres;Emigraciones;24;
Sorvilán;Ambos sexos;Emigraciones;37;
Taha (La);Hombres;Emigraciones;17;
Taha (La);Mujeres;Emigraciones;18;
Taha (La);Ambos sexos;Emigraciones;35;
Torre-Cardela;Hombres;Emigraciones;19;
Torre-Cardela;Mujeres;Emigraciones;23;
Torre-Cardela;Ambos sexos;Emigraciones;42;
Torvizcón;Hombres;Emigraciones;23;
Torvizcón;Mujeres;Emigraciones;22;
Torvizcón;Ambos sexos;Emigraciones;45;
Trevélez;Hombres;Emigraciones;18;
Trevélez;Mujeres;Emigraciones;11;
Trevélez;Ambos sexos;Emigraciones;29;
Turón;Hombres;Emigraciones;4;
Turón;Mujeres;Emigraciones;3;
Turón;Ambos sexos;Emigraciones;7;
Ugíjar;Hombres;Emigraciones;49;
Ugíjar;Mujeres;Emigraciones;43;
Ugíjar;Ambos sexos;Emigraciones;92;
Valle (El);Hombres;Emigraciones;19;
Valle (El);Mujeres;Emigraciones;21;
Valle (El);Ambos sexos;Emigraciones;40;
Valle del Zalabí;Hombres;Emigraciones;37;
Valle del Zalabí;Mujeres;Emigraciones;45;
Valle del Zalabí;Ambos sexos;Emigraciones;82;
Válor;Hombres;Emigraciones;24;
Válor;Mujeres;Emigraciones;16;
Válor;Ambos sexos;Emigraciones;40;
Vegas del Genil;Hombres;Emigraciones;235;
Vegas del Genil;Mujeres;Emigraciones;260;
Vegas del Genil;Ambos sexos;Emigraciones;495;
Vélez de Benaudalla;Hombres;Emigraciones;64;
Vélez de Benaudalla;Mujeres;Emigraciones;48;
Vélez de Benaudalla;Ambos sexos;Emigraciones;112;
Ventas de Huelma;Hombres;Emigraciones;21;
Ventas de Huelma;Mujeres;Emigraciones;14;
Ventas de Huelma;Ambos sexos;Emigraciones;35;
Villamena;Hombres;Emigraciones;18;
Villamena;Mujeres;Emigraciones;23;
Villamena;Ambos sexos;Emigraciones;41;
Villanueva de las Torres;Hombres;Emigraciones;16;
Villanueva de las Torres;Mujeres;Emigraciones;19;
Villanueva de las Torres;Ambos sexos;Emigraciones;35;
Villanueva Mesía;Hombres;Emigraciones;34;
Villanueva Mesía;Mujeres;Emigraciones;22;
Villanueva Mesía;Ambos sexos;Emigraciones;56;
Víznar;Hombres;Emigraciones;34;
Víznar;Mujeres;Emigraciones;25;
Víznar;Ambos sexos;Emigraciones;59;
Zafarraya;Hombres;Emigraciones;60;
Zafarraya;Mujeres;Emigraciones;39;
Zafarraya;Ambos sexos;Emigraciones;99;
Zagra;Hombres;Emigraciones;11;
Zagra;Mujeres;Emigraciones;12;
Zagra;Ambos sexos;Emigraciones;23;
Zubia (La);Hombres;Emigraciones;443;
Zubia (La);Mujeres;Emigraciones;466;
Zubia (La);Ambos sexos;Emigraciones;909;
Zújar;Hombres;Emigraciones;47;
Zújar;Mujeres;Emigraciones;51;
Zújar;Ambos sexos;Emigraciones;98;
Dehesas Viejas;Hombres;Emigraciones;18;
Dehesas Viejas;Mujeres;Emigraciones;9;
Dehesas Viejas;Ambos sexos;Emigraciones;27;
Játar;Hombres;Emigraciones;23;
Játar;Mujeres;Emigraciones;19;
Játar;Ambos sexos;Emigraciones;42;
Valderrubio;Hombres;Emigraciones;32;
Valderrubio;Mujeres;Emigraciones;28;
Valderrubio;Ambos sexos;Emigraciones;60;
Domingo Pérez de Granada;Hombres;Emigraciones;12;
Domingo Pérez de Granada;Mujeres;Emigraciones;13;
Domingo Pérez de Granada;Ambos sexos;Emigraciones;25;
Huelva;Hombres;Emigraciones;8021;
Huelva;Mujeres;Emigraciones;7620;
Huelva;Ambos sexos;Emigraciones;15641;
